Index,Start time in milliseconds,End time in milliseconds,Script,"Label_(0:junior,1:senior,2:none)"
1,870,1750,선생님,0
2,1760,4650,왜 불러,1
3,4670,12220,이것 좀 보세요,0
4,12240,15109,무슨 일이지?,1
5,15119,18290,어제 별일 없으셨나요?,0
6,18300,22680,응 괜찮아,1
7,22690,28380,네 다행입니다,0
8,28400,30950,연락이 안돼서 걱정했어요,0
9,30960,35590,미안하네 바쁜일이 좀 있었어,1
10,35610,38479,댁에 전화해도 아무도 안 받더라구요,0
11,38489,40930,아  그랬구나 미안,1
18,65400,69050,빙그레 알게 나 아닌데요,0
19,69060,72160,예 그들은,0
20,72180,76590,으 나이가 26 살아라,1
23,83170,87910,음 모 고등학교 그만두게 안감과 뭐 어떤가,1
24,87920,95630,아깝습니다,0
26,100200,103770,아 이 여제 이 배구 보이는 할 줄 알고 있구나,1
28,106640,108770,없습니다,0
29,108780,112639,컴활 2급 자격증은 했습니다,0
40,148250,155100,아 뭐야,1
42,157220,169430,우리 양이에요 그러니 아 그걸 왜 다 중부 가요 벌을,0
45,179000,186710,아니 중요 길게 빼서 other 해야되 예 어 그럼 합니다,0
46,186730,191100,아이도 손가락을 그걸 촬영 할 테니까 괜찮았다 아닙니까,1
49,200599,205240,아이비 아닐까 그거 먼저 가지고 근본적 하다,1
53,222360,235540,실내는 20 20 년 파식 3분을 아니라고요,0
54,235560,241110,찾아 합니다,0
56,249989,253660,거참 전화좀 받읍시다,1
57,253680,257659,여보세요 어 어 김대리님 민 좀 부탁합니다,0
59,259500,264500,지금 안 계십니다 그럼 o 과장님이 좀 걷고자,0
60,264510,271700,4 거 기업 성장 아니에요 안받습니다 봤는데 뭐 과장님이,0
63,279070,284709,5 과장님 해주 장중 2시 합니다 언제 오시나요,0
65,286280,293190,그렇죠 좋습니다,0
69,306159,311399,아무 양산이 거칠기 levi's 대표 소두 개발 보고보고 버리죠,0
71,315820,319470,아 예 5 가자 임지금 고맙 조차 오셨답니다,0
72,319480,323640,예 지금 징역 아 아 예 알겠습니다,0
73,323650,328320,1 진짜 미친 20 아니 헨리 걔는 내 온다더니 지금 어쩌자는 거야 진짜,1
74,328330,335480,악수도 마구마구 너무 반가워서 힘이 보다도 없다 않은,1
83,358009,364929,어 굉장히 아니야 이제 부정적 음식인데요 아 헤이즈 과장님이 30번 좀,0
85,369279,372559,아직 부장님 아직 제나 아무도 모릅니다,0
86,372569,375450,으 예 아 아 알겠습니다,0
90,385330,391000,방긋이 에 근데 5 귀 씨가 좀 가야겠어,1
91,391010,399490,4 총 어메이징 아직 다른 방법이 없어,1
96,412920,427870,자 자 26년 동안 한 건 없어도 없을만한 몸이라 들어봅니다,1
98,429820,433050,해외 4 이것이죠,0
103,458350,462140,업 우선입니다 거 했어,1
104,462150,465440,비즈 바둑 입니다,0
107,472890,478280,아니야 다 쭉 빠져 2,1
110,490770,493659,제가 있어서만 받았으니까 아,0
111,493669,496540,오바마 줄 타운으로 다운 받았다,1
112,496550,500379,당장 바이런 맞짱 떠서 계약서에 싸인 받아 언론의 필요하던,1
113,500389,505410,기본 사바 보고는 필요없이 와 그렇죠,0
114,505430,508790,죄송합니다 으,0
115,508810,512459,들어가는 이 길로 너더러 가져가라고 할 수도 있다,1
122,529620,531170,없어,1
126,541290,544220,전 지금까지 제 노력을 쓰지 않았으니까,0
127,544230,549110,제 도량을 3 8시 신상입니다 으 멋있어,1
128,549120,554470,열심히 하겠습니다 무조건 열심히 하겠습니다,0
130,556720,560610,더 동시에 5 들어가는데 첫 깔고 정치가 말야 이거 확인을 좀 해,1
131,560620,562500,봐야 겠는데요,0
132,562510,565119,뭐야,1
135,572459,576679,없을 가능성이 거야 진짜 커피 같은 자식들 얘기를 발표를 하는데요,0
136,576689,579079,아무래도 이거 장난 7층 거 같아요,0
137,579089,582199,자동 운전이 + 너를 그래 거야 알아서,1
138,582209,586009,오늘 숫자가 분류 들어온다고 한 푸대 로 나오면 거래 그럴거라 그래,1
139,586019,591019,예 수작업이 여 이 굉장히 그만 일으키고 없을텐데요 야에 각 팀 잔다,1
144,605339,609319,이게 이게 뭐 골 쪽에 오시고 보다 비싸고 싸고 의 문제가 아냐 그,1
151,642710,644020,더워지고 있다 않대요,0
152,644030,648310,하기사 1 성별 그 친구는 아예 현장 근무 자청해서 같죠,0
154,652880,655960,근데 그 안양 씨는 여자로 빼 나요,0
155,655970,670200,어 그쪽 팀장님이 안내 주셨어요 고마워 이론이란 사람은 떨어 있단 말이죠,0
161,687949,690150,거장 입니다 그,0
162,690160,695040,안그래 이 폴더 트리를 뭐야 내가 만들어 주고 어딨어,1
163,695050,703050,아 몇몇 분류가 애매한 파일을 정리하느라 구성을 달려왔습니다,0
164,703070,708270,이렇게 하면 될까요 아,0
165,708290,710080,아니,1
167,714110,718410,품 졌으니 1개 그런데 금이다,1
168,718430,722490,크게 기대한 건 아니었어,1
171,737160,741290,장르시 갑시다,1
175,781140,783520,안녕하세요,0
176,783530,790440,아아 이어 가장 님 예,0
177,790460,792130,아 예 알겠습니다,0
178,792140,796140,예 그렇게 하겠습니다 예,0
179,796160,797830,철수 합시다,1
180,797840,801460,철수 중국집에서 신나고 행사했다 고 했답니다,0
181,801470,805780,영업 3팀 에서 회식 소신 되어 고생했다고 극단에 서 둘러싼 알아들었다,1
182,805790,809230,하려면 그럼 장그래 씨한테 는 제가 소포 74 난 모르죠,0
183,809240,813190,예 아 작은 씨앗 알려주시고요 그쪽 차를 같이 보세요,0
184,813200,815950,아쉬워요,0
186,828780,835030,같이 제시 년에 혈 시 미 라 돼야죠,0
187,835050,840120,즉 잠 그 시 시 창단해,1
190,846110,851269,그렇죠 우린 부른 거에요 욱,0
191,851279,855230,뭘 뭐 떨어지라고 이를 아,1
192,855240,858230,일이 좀 있었습니다 2,0
194,859810,863070,저도 다시 사무실 가서 마저 해야 할 일이 있어요,0
195,863080,868139,미안해서 인생 고발은 같습니다 이거 뭐 할 일 무걸,0
196,868149,872730,또 설혹 그 가루가 이제 잘 못 살았으니까 같이 해야 되겠습니다,0
197,872740,875939,여기서 내려 데 그러니까 들어와서 배를 채우던,1
198,875949,879509,집어 쉽고 자들을 같은거 벗겨지고 아닙니다,0
199,879519,886970,내일 출근 하시면 보실수 있도록 해 놓겠습니다,0
200,886990,889830,내가 열심히 한다고 그,1
201,889840,894390,아님 난 열심히 하지 않아서 세상에 나온 거다,1
204,897660,902150,빠르신 겁니당,0
209,917420,921190,어 어 있지,1
210,921200,927630,찾아간 되요 아 방수 이렇게 이거 삽질한 거에요,0
211,927650,931390,본 있나요 아니면 근성 아니 있겠죠,0
212,931400,934990,안녕하십니까 제가 만져 봤어,0
213,935000,941920,양은 증명 되더라,1
215,944340,948470,그래서 혼자 하는거 아냐 당신 여기 얼마나 있을지 모르겠는데,1
219,957720,963890,아니다 아 나 몰라 아 알았어 난 오늘 아침에 들었는데,1
221,965660,974210,뭐 그래 누구나 까 손으로 될 꽃인지 반응 거야 어,1
223,978270,984670,누구야 2 가꾸지 거야 누구,1
228,997540,1003379,아 으 오셔야 예 방법이 약간 정리하려는 씨없는 을 보고 좀 말해 이,1
230,1004860,1008710,그 다됐어,1
231,1008730,1012680,아니래도 이 친구가 그 액셀을 띄엄띄엄 다룰 줄 알더라구요 그래서 지금,0
232,1012690,1015769,가격별 따라 본래적인 체크 보려고 시켰습니다,0
233,1015779,1020560,뭐 이런거 이석기와 5 누구한테 뭘 시켜,1
235,1022550,1026500,8 보라고 의 여기가 무슨 연습장 이야,1
236,1026510,1036909,죄송합니다,0
242,1047880,1050900,뭐가 온 자는 일이 아니라는 겁니다,0
243,1050910,1057400,네 네 아,0
244,1057420,1059870,한편 썻다,1
245,1059880,1063290,어후 냄새 고 올 등의 해주셔야 되요,0
246,1063300,1068470,아 그리스도 잘 안 들어왔어요 4,0
247,1068490,1071410,이렇게 잘 끝냈어요,0
248,1071430,1078860,못했어요 요렇게 왜 모바 해 아 그나저나 pt 파트너를 울창해 스크린에,0
249,1078870,1085950,될까 정화 된지 얼마 밭은 없어서 면접 모치 겠어요,0
250,1085970,1089430,그럴 수도 있게 끌어,1
251,1089450,1093700,조별 pt 를 문제지만 끝나고 괴롭게 뒤 또 하잖아,1
252,1093710,1097450,산 넘어 산 이라구요 저는 먼저 갑니다,0
253,1097460,1100020,즉 없이 누구야,1
255,1111260,1115830,그거보고 신비 분이 4 하시더라구요,0
257,1120370,1127340,최종 pt 면접 통과 하지 못하면 결국 그렇게 되겠지만요,0
265,1171210,1173149,뭐냐구요,0
266,1173159,1175789,폭탄 이라고 하셨습니까,0
267,1175799,1181489,그래 폭탄 거라는 희생자는 쉽게 돋보이는 강해 2 그다음,1
268,1181499,1186549,심사위원들 앞에서 자기라도 돋보일 수 있으니까 그러니까 하는 거야,1
270,1189509,1196580,당신한테 먼저 접근한 사람들 잘 갈아 가면서 보라고 아,1
273,1213230,1219320,너무 시간이 어디 가는 거예요,0
276,1225760,1229930,할 수 있는 일이 없네요 으,0
277,1229950,1231909,요즘 뭐 하자는 거예요,1
278,1231919,1235110,혼자 하는 일이 아니라면서 요 으,0
281,1243100,1246229,가르쳐 주실 수 있잖아요 으,0
282,1246239,1251510,기회를 줄 수 있잖아요 으,0
283,1251530,1255350,교회의 도 자격이 있는 거죠 으 으 으,0
285,1262120,1264970,쉽 나 알아요,0
288,1273400,1277639,침실 짓을 한 거야,1
291,1283450,1286829,이제 조이 붙혀 가지고 총무팀 이빨 갖다 줘,1
292,1286839,1289090,걸까요,0
293,1289100,1293200,오 예 아 아니 지성보다 예 지금 제가 빨리 보내 드릴께요 얘기에,0
294,1293210,1296730,감사합니다 시도하세요,0
295,1296750,1300670,다녀 오셨습니까,0
297,1306460,1309410,참 드레시 그 밑에 그 뭐야,1
302,1319919,1325760,아 예 서로들 이미 언제 한번 버리지 말고 업무 111 체크하고 버리라고,1
303,1325770,1332780,면만 아파서 하고 예 요즘엔 눈 서버 문제 때문에 분위기 게 안 좋아,1
304,1332800,1337200,얼마전에 큰 상관 많이 썼구나 4 심장부터 데리 9까지의 전문 이마트,1
306,1340090,1346610,내가 있습니다,0
